nombre,visible
Pollos a la brasa,TRUE
Promociones,TRUE
Promo Pepsi,TRUE
Salchibrasa,TRUE
Brasa a lo pobre,TRUE
Parrillas,TRUE
Platos a la carta,TRUE
Chifa - Chaufa,TRUE
Chifa - Aeropuerto,TRUE
Chifa - Tallarín,TRUE
Chifa - Salvaje,TRUE
Chifa - Combinado,TRUE
Sopas,TRUE
Comida amazónica,TRUE
Gaseosas y cervezas,TRUE
Bebidas heladas,TRUE
Frappés,TRUE
